51300002446,dcb,124,55
51300035473,cdf,239,36
51300067821,gdb,89,200
51300069119,efe,163,284
51300072672,ege,25,17
51300076487,dfg,210,160
51300081817,dae,129,244
51300098384,cdd,71,115
51300127108,cfc,269,275
51300133652,aeg,261,104
51300158555,fcb,263,57
51300162336,aec,6,134
51300174034,gdb,237,182
51300180576,bgd,137,112
51300196092,agf,104,98
51300219842,fgd,4,277
51300235445,edd,262,106
51300239988,dga,46,252
51300254555,fdg,236,131
51300255972,efb,181,114
51300262804,dba,27,139
51300281247,ggg,8,34
51300348854,aff,23,169
51300349312,fcc,160,27
51300367350,edg,98,94
51300434431,dga,72,287
51300438067,bdc,241,264
51300531913,egb,122,175
51300620258,deg,138,235
51300633064,egd,199,131
51300648325,aab,114,31
51300651550,gde,265,132
51300692894,dag,136,124
51300716609,cfb,219,21
51300763371,gfe,133,10
51300769174,caa,9,204
51300845179,gce,34,281
51300876924,dcb,202,53
51300893644,fcc,295,24
51300903574,ebc,231,263
51300914045,gff,287,226
51300918045,cbf,163,20
51300949988,bcg,216,113
51301005173,ccd,92,279
51301032758,feg,76,127
51301045936,dfc,13,25
51301055778,ceb,106,217
51301116571,ceb,223,232
51301153420,ccc,26,169
51301173477,ede,52,129
51301201098,eab,281,91
51301253163,ecb,129,200
51301263396,ade,229,273
51301320770,cbd,124,210
51301414764,cdc,198,259
51301434410,cdg,262,226
51301441806,ggc,252,23
51301481468,daa,239,287
51301484781,edc,250,73
51301486039,dbb,243,150
51301489062,bec,261,167
51301494679,gdc,178,168
51301502169,bed,285,153
51301506538,bcd,80,210
51301548012,abb,136,225
51301555003,gbd,72,79
51301595411,eec,17,224
51301638703,dbb,271,136
51301691229,fcg,99,243
51301703106,eec,115,250
51301707700,bce,297,226
51301787355,cge,282,71
51301857184,age,282,227
51301885284,gce,215,311
51301892739,bed,267,182
51301936599,cdd,248,95
51301949734,gge,220,48
51301967263,bda,159,262
51301972316,fag,118,59
51301980289,geg,217,100
51302000501,abd,33,108
51302005860,afg,97,275
51302007361,dec,133,166
51302015771,gga,76,198
51302045953,fcg,137,223
51302063234,fgg,6,278
51302092112,bba,112,15
51302097334,cgf,199,15
51302107422,afa,174,109
51302174639,fga,209,74
51302178448,gad,74,195
51302185465,gdg,275,142
51302210279,eag,296,62
51302215563,bag,206,25
51302217079,ebe,262,187
51302235043,ggc,59,22
51302245117,gfc,279,256
51302261606,efg,147,296
51302293021,daa,145,278
51302296498,fda,45,262
51302318474,gaf,266,156
51302361792,afa,186,105
51302369417,efg,136,263
51302369512,ege,89,13
51302399445,edf,56,200
51302416283,aeg,58,112
51302514093,fea,132,263
51302519209,acf,102,273
51302552318,beg,91,215
51302556902,dbf,73,191
51302573435,geb,160,212
51302588581,gge,63,52
51302589698,gag,280,284
51302593202,efd,59,133
51302612724,dbb,156,127
51302613272,gdg,81,117
51302617545,dcg,46,101
51302649356,gbd,36,79
51302693938,acc,58,192
51302707632,edg,230,91
51302710556,dfe,269,103
51302712048,fac,5,61
51302735465,cbe,51,258
51302740871,ade,36,300
51302749555,fde,135,289
51302778940,fdb,232,117
51302833968,adg,18,170
51302911716,bac,132,222
51302914216,fgg,245,311
51302924003,bgd,254,89
51302934630,edd,225,106
51302950179,edc,55,80
51302989421,eag,2,64
51302999749,bgg,17,147
51303045160,dfe,189,114
51303050258,aab,79,26
51303050311,acb,52,228
51303063117,adb,48,28
51303067254,dgg,143,33
51303077262,acc,262,211
51303105340,fba,3,62
51303111526,cgf,121,13
51303114049,beb,76,92
51303121843,dbd,79,33
51303126267,agd,67,84
51303166219,ccd,252,329
51303174487,fad,195,117
51303220971,gfd,142,65
51303224575,dgg,177,36
51303242860,gec,117,264
51303248810,gde,60,130
51303332716,dea,163,202
51303337444,fbg,36,30
51303344575,ffb,33,115
51303373738,dab,22,238
51303395209,fac,256,68
51303428559,eab,155,104
51303444682,fca,14,225
51303485494,dff,283,234
51303493436,afd,60,194
51303504841,ced,79,100
51303513998,fdb,189,122
51303533123,abg,37,271
51303561950,dcb,92,42
51303574676,egc,108,96
51303604091,aad,125,295
51303666363,gbb,214,6
51303691488,cag,151,57
51303770902,gca,83,242
51303777662,eba,157,78
51303783792,aed,44,130
51303807932,gce,268,317
51303837445,aab,290,27
51303842976,ebd,130,211
51303846161,bce,146,239
51303862444,gce,79,282
51303868160,faa,289,54
51303937753,cfd,278,160
51304000795,ddg,264,51
51304003218,afe,259,263
51304038396,eaa,140,289
51304038589,fba,119,68
51304054151,cdb,22,211
51304097339,gdb,59,156
